input,name,formatted_address,lat,lng,place_id,google_maps_url
"Hospital Val d’Hebron, Barcelona",Hospital Universitario Valle de Hebrón,"Passeig de la Vall d'Hebron, 119, 08035 Barcelona",41.4276874,2.1423868,ChIJ3-xLF_2XpBIRdZjtdppRBQY,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ3-xLF_2XpBIRdZjtdppRBQY
"Hospital Consorci Sanitari de Terrasa, Barcelona",Salut i Més. CST: Consorci Sanitari de Terrassa,"Plaça Nova, 5, Local 7, 08221 Terrassa, Barcelona",41.559221,2.0138879,ChIJ0xx4rb-SpBIRqIJ_XyZubqs,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ0xx4rb-SpBIRqIJ_XyZubqs
"Centro asistencial de Manresa, Barcelona",Centre Hospitalari de Manresa - Fundació Althaia,"Carrer del Flor de Lis, 33, 08242 Manresa, Barcelona",41.7348286,1.8253502,ChIJa6Kkcw9YpBIRGeUMruvOo_w,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJa6Kkcw9YpBIRGeUMruvOo_w
"Hospital Bellvitge, Barcelona",Hospital Universitari de Bellvitge,"Carrer de la Feixa Llarga, s/n, 08907 L'Hospitalet de Llobregat, Barcelona",41.3447661,2.1042319,ChIJ2_ae9SqZpBIRoXaoN-PYD2M,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ2_ae9SqZpBIRoXaoN-PYD2M
"Hospital Viladecans, Barcelona",Hospital de Viladecans,"Av. de Gavà, 38, 08840 Viladecans, Barcelona",41.31245819999999,2.0146536,ChIJl8iHM-ScpBIRiQ5o9csfqBo,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJl8iHM-ScpBIRiQ5o9csfqBo
"Hospital de Sant Joan Despi Moises Broggi, Barcelona",Hospital de Sant Joan Despí,"C. d'Oriol Martorell, 12, 08970 Sant Joan Despí, Barcelona",41.3733164,2.0725157,ChIJ34eCOHuZpBIRH1md-g1Q_uc,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ34eCOHuZpBIRH1md-g1Q_uc
"Hospital Universitario de la Santa Creu I Sant Pau, Barcelona",Hospital Nou de la Santa Creu i Sant Pau,"Carrer de Sant Quintí, 89, 08041 Barcelona",41.41539110000001,2.1747963,ChIJ06OiSf2jpBIRuPg-dn47H7g,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ06OiSf2jpBIRuPg-dn47H7g
"Hospital Josep Trueta, Girona",Hospital Universitario de Gerona Doctor Josep Trueta,"Avinguda de França, S/N, 17007 Girona",41.9975709,2.8199659,ChIJ2VcZOv3muhIR8g0-E5_yDBs,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ2VcZOv3muhIR8g0-E5_yDBs
"Hospital de Salamanca, Salamanca",Hospital Universitario de Salamanca,"P.º de San Vicente, 182, 37007 Salamanca",40.9636372,-5.6755741,ChIJuTZHsTkmPw0RxWX7oqHX8Qg,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJuTZHsTkmPw0RxWX7oqHX8Qg
"Hospital Universitario Río Ortega, Valladolid",Hospital Universitario Río Hortega,"C. Dulzaina, 2, 47012 Valladolid",41.6294871,-4.7134255,ChIJT4GX-tsSRw0RWsg4x8qBF3o,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJT4GX-tsSRw0RWsg4x8qBF3o
"Hospital Universitario Niño Jesús, Madrid",Hospital Universitario Infantil Niño Jesús,"Av. de Menéndez Pelayo, 65, 28009 Madrid",40.414431,-3.6761187,ChIJzfH1S6coQg0Rhm8TbRoUUmY,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJzfH1S6coQg0Rhm8TbRoUUmY
"Hospital Universitario La Princesa, Madrid",Hospital de La Princesa,"Calle de Diego de León, 62, 28006 Madrid",40.4339832,-3.6757264,ChIJnQ0UkLgoQg0RqeN3F_DpePA,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJnQ0UkLgoQg0RqeN3F_DpePA
"Hospital 12 de octubre, Madrid",Hospital Universitario 12 de Octubre,"Av. de Córdoba, s/n, 28041 Madrid",40.3760381,-3.6990068,ChIJQ1cGtVYmQg0RKTAbV8YE_AM,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJQ1cGtVYmQg0RKTAbV8YE_AM
"Hospital Universitario La Paz, Madrid",Hospital Universitario La Paz,"P.º de la Castellana, 261, 28046 Madrid",40.4811633,-3.6873978,ChIJ09D_amkpQg0RnVBkPIdpLgk,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ09D_amkpQg0RnVBkPIdpLgk
