codi municipi,descripcio municipi,codi ABS,descripcio ABS,codi RS,descripcio RS,codi SS,descripcio SS,codi localitat,descripcio localitat
17134,Planoles,343,Ribes de Freser-Campdevànol,64,Girona,6461,Girona Nord,1713400,PLANOLES
17134,Planoles,343,Ribes de Freser-Campdevànol,64,Girona,6461,Girona Nord,1713401,ASPRE
17134,Planoles,343,Ribes de Freser-Campdevànol,64,Girona,6461,Girona Nord,1713402,CASETES
17134,Planoles,343,Ribes de Freser-Campdevànol,64,Girona,6461,Girona Nord,1713403,CROELLS I SERRAT
17134,Planoles,343,Ribes de Freser-Campdevànol,64,Girona,6461,Girona Nord,1713404,FOSSES
17134,Planoles,343,Ribes de Freser-Campdevànol,64,Girona,6461,Girona Nord,1713405,MOLÍ
17134,Planoles,343,Ribes de Freser-Campdevànol,64,Girona,6461,Girona Nord,1713406,PLANÈS
17134,Planoles,343,Ribes de Freser-Campdevànol,64,Girona,6461,Girona Nord,1713407,PLANOLES
17134,Planoles,343,Ribes de Freser-Campdevànol,64,Girona,6461,Girona Nord,1713408,SERRETA
17135,Pont de Molins,133,La Jonquera,64,Girona,6461,Girona Nord,1713500,PONT DE MOLINS
17135,Pont de Molins,133,La Jonquera,64,Girona,6461,Girona Nord,1713501,CELLERS
17135,Pont de Molins,133,La Jonquera,64,Girona,6461,Girona Nord,1713502,PONT DE MOLINS
17135,Pont de Molins,133,La Jonquera,64,Girona,6461,Girona Nord,1713503,RICARDELL
17136,Pontós,80,Bàscara,64,Girona,6461,Girona Nord,1713600,PONTÓS
17136,Pontós,80,Bàscara,64,Girona,6461,Girona Nord,1713601,CASTELL
17136,Pontós,80,Bàscara,64,Girona,6461,Girona Nord,1713602,PONTÓS
17136,Pontós,80,Bàscara,64,Girona,6461,Girona Nord,1713603,ROMANYÀ D'EMPORDÀ
17137,Porqueres,15,Banyoles,64,Girona,6462,Girona Sud,1713700,PORQUERES
17137,Porqueres,15,Banyoles,64,Girona,6462,Girona Sud,1713701,CAN GIRGUES
17137,Porqueres,15,Banyoles,64,Girona,6462,Girona Sud,1713702,CASELLES D'AVALL
17137,Porqueres,15,Banyoles,64,Girona,6462,Girona Sud,1713703,FORMIGA
17137,Porqueres,15,Banyoles,64,Girona,6462,Girona Sud,1713704,MATA
17137,Porqueres,15,Banyoles,64,Girona,6462,Girona Sud,1713705,MERLANT
